1.5	-10.52	9.02	5.79	-0.21	7.26
-5.38	7.21	-3.95	10.4	4.1	-9.6
-3.38	-9	-8.84	-7.05	0.55	3.75
1.41	9.7	2.15	-5.71	-7.93	-4
4.36	7.45	-6.54	3.48	-1.8	-1.64
-2.56	6.2	0.44	5.13	5	-3.57
-0.74	2.5	5.6	8.46	-5.03	-4.75
-6.22	5.03	-4.48	7.79	-3.59	-3.58
5.73	-9	-5.37	-1.81	8.81	-4.07
8.22	-5.82	-9.46	-3.54	-5.4	0.08
-6.85	-3.17	-7.9	4.66	-3.33	8.14
-0.18	8.46	-2.22	-6.91	-4.93	2.8
-0.61	2.7	5.33	-4.21	8.96	10.3
9.3	4.94	-5.68	4.26	-9.5	7.6
-7.31	-6.61	6.72	7.12	-4.81	8.18
9.87	-2.29	5.67	6.08	-7.1	-6.29
10.3	2.01	5.06	-7.17	-1.62	2.32
6.65	-8.99	5.04	0.8	-2.43	1.05
4.44	-7.9	0.44	-7.04	-3.94	-6.92
7.73	3.64	-0.72	-6.11	-3.11	6.29
8.44	3.97	4.69	7.06	-3.56	-6.7
-8.76	2.61	1.1	8.66	10.09	-3.47
3.38	-2.13	-9.16	3.29	-2.4	-10.95
-2.06	4.94	7.08	-8.72	9.22	8.5
-0.66	5.24	1.36	10.47	-10.56	-4.52
-5.58	-0.65	9.59	-0.1	-2.7	3.2
4.39	5.48	9.6	0.93	4.83	4.58
3.5	1.05	-9.56	8.77	-7.01	-7.23
1.06	6.2	-5.4	7.79	4.63	2.37
-6.98	6.64	-1.92	7.17	7.8	-6.42
10.1	-4.97	9.32	-7.42	-5.1	-5.49
-4.16	-0.06	6.69	6.13	-9.23	-1.3
4.74	-7.39	-6.58	2.71	6.34	-5.85
-9.1	4.67	9.4	-3	-4.37	1.32
-5.6	-0.72	-8.4	-9.83	5.14	3.07
5.61	-9.63	1.01	0.17	7.31	-0.72
-0.89	-3.54	-0.78	-3.29	-1.03	5.57
8.61	-5.41	-6.32	-10.29	0.2	-9.14
4.91	-1.76	-0.4	-0.85	7.56	-1.73
