4.39, 5.48, 9.6, 0.93, 4.83, 4.58
6.47, -9.12, 1.14, -0.11, 4.04, -3.09
-10.42, 6.33, -0.82, 8.24, -8.72, 1.1
-1.12, -4.18, -2.44, -5.02, -0.06, -7.26
2.51, 5.75, 6.05, 1.14, 2.4, 0.94
5.59, 8.26, 2.82, 3.6, 8.18, 4.34
-7.46, 0.58, -6.94, 9.8, -4.93, 3.78
-4.85, -3.02, -9.55, -1.3, -4.04, -2.85
3.74, -2.74, 7.02, -1.06, 1.96, -6.79
5.13, -9.11, 3.88, -0.18, 7.51, -9.53
-6.85, -5.28, -3.66, -9.06, -7.9, -3.32
9.36, -2.25, 5.62, -6.42, 3.23, -8.81
-3.62, -10.46, -7.41, -1.73, -4.27, -4.49
-5.57, 6.0, -5.93, 7.04, -7.65, 7.09
-2.95, 5.88, -2.9, 10.59, -5.2, 2.52
-3.0, 7.22, -9.73, 2.01, -4.0, 5.7
4.9, -0.76, 9.56, -1.69, 5.13, -6.55
1.98, -9.22, 10.49, -6.18, 10.41, -6.29
-6.15, -6.37, -10.17, -2.4, -4.79, -9.63
-4.07, -4.81, -5.99, -5.3, -10.93, -5.02
8.48, 1.15, 6.25, 8.91, 5.6, 0.54
3.34, 2.89, 3.0, 8.16, 10.09, 2.53
-5.05, 3.5, -5.32, 9.06, -5.49, 4.23
0.68, -10.83, 7.52, -7.19, 3.59, -2.34
